index,chars,header_rule_says_email,email_vocab_hits,verdict,excerpt
729,34,True,,no independent evidence,Subject: nom - - hpl - aug . xls
732,162,True,attached enron please,email,"Subject: enron / hpl noms . for 9 / 26 / 00 attached , please find our nom . for tues . , 9 / 26 / 00 . ( see attached file : hplo 926 . xls ) - hplo 926 . xls"
741,405,True,,no independent evidence,"Subject: football & more i ' m glad you got $ 20 from my favorite person . ? linda has been into the nba , but i find it unexciting anymore . ? nebraska will go"
755,352,True,deal please thanks,email,"Subject: tenaska iv 7 / 01 darren : please change the demand fee on deal 384258 for july 2001 from $ 3 , 902 , 687 . 50 to $ 3 , 878 , 621 . 27 . we received th"
788,201,True,gas please,email,"Subject: physical gas summary by desk jeff , here is the information you requested on where we were as of december 11 th . please note this is a snapshot and th"
791,2368,True,please,email,"Subject: assigned hr reps . dear clients , in order to better serve your hr needs , frank and i are splitting up sally ' s eops world into two groups . each gro"
794,1581,True,corp counterparty deal ect enron forwarded,email,"Subject: re : texas nom , lp dba garrison , ltd the new ticket is 247087 . vance l taylor @ ect 04 / 18 / 2000 07 : 36 pm to : tom acton / corp / enron @ enron "
801,295,True,nomination,email,"Subject: nomination 2 / 3 / 2000 this is to nominate 33 , 500 mmbtu for 2 / 3 / 2000 from hpl at the eastrans interconnect . this equates to about 30 , 700 mcf "
824,383,True,attached gas please,email,"Subject: cleburne daren & john , see the attached document regarding gas deliveries / nominations for the cleburne site . right now , i ' m planning to be in th"
866,305,True,deal gas please thanks,email,"Subject: txu gas distribution deal # 646679 please confirm the pricing for txu gas deal # 646679 for march 8 , 2001 . we are currently showing the katy hub gas "
882,134,True,meter,email,Subject: meter 385 daren - is there a reason there is a nom of 20 . 000 / day at meter 385 ? this is a non - allocatable meter . al
999,138,True,enron gas,email,"Subject: enron / hpl actuals for december 11 , 2000 teco tap 30 . 000 / enron ; 120 . 000 / hpl gas daily ls hpl lsk ic 30 . 000 / enron"
1031,332,True,attached deal spreadsheet,email,Subject: tenaska iv 11 / 00 all of the outside sales for 11 / 00 have been paid . we now need to forward the cash to tenaska iv . the demand charge for deal 529
1049,290,True,attached gas please,email,"Subject: firm transportation proposal - lone star kerrville daren , per your requests attached is a 1 year proposal for firm transportation on oasis to deliver "
1090,402,True,gas nomination thanks,email,"Subject: calpine daily gas nomination > > julie , as i mention earlier we hope to start the unit this afternoon but are still experiencing difficulties . i will"
1093,95,True,attached,email,"Subject: hpl nom for april 4 , 2001 ( see attached file : hplno 404 . xls ) - hplno 404 . xls"
1142,1474,True,,no independent evidence,"Subject: lacy ' s eye exam hi bubba ! lacy got her eye exam yesterday . he said that she is very near sighted , but the diabetes has not affected her eyes at al"
1152,96,True,attached,email,"Subject: hpl nom for april 26 , 2001 ( see attached file : hplno 426 . xls ) - hplno 426 . xls"
1215,458,True,deal gas thanks,email,"Subject: natural gas our ceo was contacted by a david gardner , president of gardner energy in houston regarding a five - year package of gas . i spoke to him o"
1235,72,True,enron,email,"Subject: enron actuals for december 28 , 1999 teco tap 60 . 000 / enron"
1267,1496,True,contract enron forwarded fyi gas please,email,"Subject: january nominations at shell deer park fyi - they did request 110 m / day , however , the load must have dropped off . i am checking into this , and wi"
1285,572,True,fyi pipeline,email,"Subject: koch midstream services fyi , i was watching the position manager for ena and noticed some business transactions on this pipeline . this pipeline was b"
1318,93,True,attached,email,"Subject: hpl nom for july 26 , 2000 ( see attached file : hplo 726 . xls ) - hplo 726 . xls"
1352,39,True,,no independent evidence,Subject: christmas tree farm pictures 
1379,534,True,attached contract corp enron forwarded thanks,email,"Subject: put the 10 on the ft the transport volumes decreased from 25000 to 10000 . all 10000 should be on contract 012 - 41991 - 203 . thanks , ami - - - - - -"
